tt0000001	Carmencita
tt0000002	Le clown et ses chiens
tt0000003	Pauvre Pierrot
tt0000004	Un bon bock
tt0000005	Blacksmith Scene
tt0000006	Chinese Opium Den
tt0000007	Corbett and Courtney Before the Kinetograph
tt0000008	Edison Kinetoscopic Record of a Sneeze
tt0000009	Miss Jerry
tt0000010	Leaving the Factory
tt0000011	Akrobatisches Potpourri
tt0000012	The Arrival of a Train
tt0000013	The Photographical Congress Arrives in Lyon
tt0000014	The Waterer Watered
tt0000015	Autour d'une cabine
tt0000016	Boat Leaving the Port
tt0000017	Italienischer Bauerntanz
tt0000018	Das boxende Känguruh
tt0000019	The Clown Barber
tt0000020	The Derby 1895
tt0000022	Blacksmith Scene
tt0000023	The Sea
tt0000024	Opening of the Kiel Canal
tt0000025	The Oxford and Cambridge University Boat Race
tt0000026	The Messers. Lumière at Cards
tt0000027	Cordeliers' Square in Lyon
tt0000028	Fishing for Goldfish
tt0000029	Baby's Meal
tt0000030	Rough Sea at Dover
tt0000031	Jumping the Blanket
tt0000032	Die Serpentintänzerin
tt0000033	Horse Trick Riders
tt0000034	Arrivée d'un train gare de Vincennes
tt0000035	Watering the Flowers
tt0000036	Awakening of Rip
tt0000037	Sea Bathing
tt0000038	The Ball Game
tt0000039	Barnet Horse Fair
tt0000040	Barque sortant du port de Trouville
tt0000041	Bataille de neige
tt0000042	Bateau-mouche sur la Seine
tt0000043	Batteuse à vapeur
tt0000044	Le bivouac
tt0000045	Les blanchisseuses
tt0000046	Bois de Boulogne
tt0000047	Boulevard des Italiens
tt0000048	The Boxing Kangaroo
tt0000049	Boxing Match; or, Glove Contest
tt0000050	Bébé et fillettes
tt0000051	The Bohemian Encampment
tt0000052	Ruraux au galop
tt0000053	A Chegada do Comboio Inaugural à Estação Central do Porto
tt0000054	A Merry-Go-Round
tt0000055	Le chiffonnier
tt0000056	Uma Corrida de Touros no Campo Pequeno
tt0000057	Cortège de tzar allant à Versailles
tt0000058	Cortège de tzar au Bois de Boulogne
tt0000059	Coronation of a Village Maiden
tt0000060	Dancing Darkies
tt0000061	Dancing Girls
tt0000062	Danse serpentine
tt0000063	Dessinateur express
tt0000064	Dessinateur: Chamberlain
tt0000065	Dessinateur: Reine Victoria
tt0000066	Dessinateur: Von Bismark
tt0000067	Conjurer Making Ten Hats in Sixty Seconds
tt0000068	Unloading the Boat
tt0000069	Post No Bills
tt0000070	Demolition of a Wall
tt0000071	Automobiles Starting a Race
tt0000072	Officers of French Army Leaving Service
tt0000073	Effets de mer sur les rochers
tt0000074	Enfants jouant sur la plage
tt0000075	The Conjuring of a Woman at the House of Robert Houdin
tt0000076	Exit of Rip and the Dwarf
tt0000077	Le fakir, mystère indien
tt0000078	Feira de Gado na Corujeira
tt0000079	La gare Saint-Lazare
tt0000080	Grandes manoeuvres
tt0000081	Towing a Boat on the River
tt0000082	A Hard Wash
tt0000083	Les indiscrets
tt0000084	Les ivrognes
tt0000085	Gardener Burning Weeds
tt0000086	Beach and Pier at Trouville, 1st part
tt0000087	Beach and Pier at Trouville, 2nd part
tt0000088	Market Day
tt0000089	Leaving Jerusalem by Railway
tt0000090	Libération des territoriaux
tt0000091	The House of the Devil
tt0000092	Marée montante sur Brise-Larmes
tt0000093	Melbourne
tt0000094	Miss de Vere
tt0000095	The Mysterious Paper
tt0000096	Place Saint-Augustin
tt0000097	Place de l'Opéra, First View
tt0000098	Place de l'Opéra, Second View
tt0000099	Place de la Bastille
tt0000100	Place de la Concorde
tt0000101	Place du théâtre français
tt0000102	The Beach at Villiers in a Gale
tt0000103	Smarter than the Teacher
tt0000104	Pompiers à Lyon
tt0000105	The Docks at Marseilles
tt0000106	Retour au cantonnement
tt0000107	Naval Review at Cherburg
tt0000108	Rip Leaving Sleepy Hollow
